Journey_ID,Departure Station,Arrival Destination,Date of Journey,Departure Time,Arrival Time,Actual Arrival Time,Planned Journey Duration,Journey Status,Reason for Delay
78,Manchester Piccadilly,Liverpool Lime Street,2024-01-02,20:15:00,20:45:00,20:45:00,30.0,On Time,
79,Liverpool Lime Street,Manchester Piccadilly,2024-01-02,20:15:00,20:45:00,20:45:00,30.0,On Time,
80,Manchester Piccadilly,Liverpool Lime Street,2024-01-02,00:00:00,00:30:00,00:30:00,30.0,On Time,
81,London St Pancras,Birmingham New Street,2024-01-02,00:30:00,01:50:00,01:50:00,80.0,On Time,
82,Oxford,Bristol Temple Meads,2024-01-02,22:30:00,23:45:00,23:45:00,75.0,On Time,
83,York,Durham,2024-01-02,01:45:00,02:35:00,02:35:00,50.0,On Time,
84,Manchester Piccadilly,London Euston,2024-01-02,01:45:00,03:35:00,03:35:00,110.0,On Time,
85,London Paddington,Reading,2024-01-02,02:00:00,03:00:00,03:00:00,60.0,On Time,
86,Liverpool Lime Street,Manchester Piccadilly,2024-01-03,23:30:00,00:00:00,00:00:00,30.0,On Time,
87,Manchester Piccadilly,Liverpool Lime Street,2024-01-02,02:30:00,03:00:00,03:00:00,30.0,On Time,
88,London Kings Cross,York,2024-01-03,23:45:00,01:35:00,01:35:00,110.0,On Time,
89,York,Durham,2024-01-03,23:45:00,00:35:00,00:35:00,50.0,On Time,
90,Liverpool Lime Street,Manchester Piccadilly,2024-01-02,02:45:00,03:15:00,03:15:00,30.0,On Time,
91,Manchester Piccadilly,Liverpool Lime Street,2024-01-03,00:00:00,00:30:00,00:30:00,30.0,On Time,
92,Liverpool Lime Street,Manchester Piccadilly,2024-01-03,00:15:00,00:45:00,00:45:00,30.0,On Time,
93,London Paddington,Reading,2024-01-02,03:15:00,04:15:00,04:15:00,60.0,On Time,
94,Liverpool Lime Street,Manchester Piccadilly,2024-01-03,01:30:00,02:00:00,02:00:00,30.0,On Time,
95,London St Pancras,Birmingham New Street,2024-01-03,01:30:00,02:50:00,02:50:00,80.0,On Time,
96,London St Pancras,Birmingham New Street,2024-01-02,04:30:00,05:50:00,05:50:00,80.0,On Time,
97,Manchester Piccadilly,London Paddington,2024-01-03,01:45:00,04:00:00,04:00:00,135.0,On Time,
98,London Kings Cross,York,2024-01-03,01:45:00,03:35:00,03:35:00,110.0,On Time,
99,Liverpool Lime Street,Leeds,2024-01-03,01:45:00,03:15:00,03:15:00,90.0,On Time,
100,Liverpool Lime Street,Manchester Piccadilly,2024-01-03,02:00:00,02:30:00,02:30:00,30.0,On Time,
101,London Paddington,Reading,2024-01-03,02:00:00,03:00:00,03:00:00,60.0,On Time,
102,London St Pancras,Birmingham New Street,2024-01-02,05:00:00,06:20:00,,80.0,Cancelled,Staffing
103,London Kings Cross,York,2024-01-03,02:00:00,03:50:00,03:50:00,110.0,On Time,
104,London Euston,Birmingham New Street,2024-01-02,05:15:00,06:35:00,06:35:00,80.0,On Time,
105,Manchester Piccadilly,Liverpool Lime Street,2024-01-02,05:45:00,06:15:00,06:15:00,30.0,On Time,
106,London Euston,Birmingham New Street,2024-01-02,05:45:00,07:05:00,07:05:00,80.0,On Time,
107,Liverpool Lime Street,Manchester Piccadilly,2024-01-03,03:00:00,03:30:00,03:30:00,30.0,On Time,
108,Manchester Piccadilly,Liverpool Lime Street,2024-01-02,06:00:00,06:30:00,06:30:00,30.0,On Time,
109,London Kings Cross,York,2024-01-02,06:15:00,08:05:00,08:35:00,110.0,Delayed,Technical Issue
110,London Paddington,Reading,2024-01-03,03:15:00,04:15:00,04:15:00,60.0,On Time,
111,London Paddington,Reading,2024-01-02,06:15:00,07:15:00,07:15:00,60.0,On Time,
112,Manchester Piccadilly,Liverpool Lime Street,2024-01-02,06:15:00,06:45:00,06:45:00,30.0,On Time,
113,Birmingham New Street,Stafford,2024-01-02,06:30:00,07:00:00,07:00:00,30.0,On Time,
114,London Euston,Birmingham New Street,2024-01-02,06:30:00,07:50:00,07:50:00,80.0,On Time,
115,London St Pancras,Birmingham New Street,2024-01-02,06:30:00,07:50:00,07:50:00,80.0,On Time,
116,Manchester Piccadilly,London Euston,2024-01-03,03:30:00,05:20:00,05:38:00,110.0,Delayed,Weather
117,Birmingham New Street,London Euston,2024-01-02,06:30:00,07:50:00,07:50:00,80.0,On Time,
118,York,Doncaster,2024-01-02,06:30:00,07:00:00,07:00:00,30.0,On Time,
119,London Euston,Manchester Piccadilly,2024-01-02,06:30:00,08:20:00,08:20:00,110.0,On Time,
120,Manchester Piccadilly,Liverpool Lime Street,2024-01-02,06:45:00,07:15:00,07:15:00,30.0,On Time,
121,London Kings Cross,York,2024-01-03,04:00:00,05:50:00,05:50:00,110.0,On Time,
122,London Euston,Birmingham New Street,2024-01-02,07:15:00,08:35:00,08:35:00,80.0,On Time,
123,London Euston,Birmingham New Street,2024-01-02,07:30:00,08:50:00,08:50:00,80.0,On Time,
124,London Kings Cross,York,2024-01-02,07:30:00,09:20:00,09:20:00,110.0,On Time,
125,Liverpool Lime Street,Manchester Piccadilly,2024-01-02,07:30:00,08:00:00,08:00:00,30.0,On Time,
126,London St Pancras,Birmingham New Street,2024-01-03,04:30:00,05:50:00,05:50:00,80.0,On Time,
127,Birmingham New Street,London St Pancras,2024-01-03,04:30:00,05:50:00,05:50:00,80.0,On Time,
128,Reading,Swindon,2024-01-02,07:30:00,08:15:00,08:15:00,45.0,On Time,
129,London Kings Cross,York,2024-01-02,07:45:00,09:35:00,09:35:00,110.0,On Time,
130,London Euston,Birmingham New Street,2024-01-02,08:00:00,09:20:00,09:20:00,80.0,On Time,
131,Liverpool Lime Street,London Euston,2024-01-02,08:00:00,10:15:00,,135.0,Cancelled,Staffing
132,Liverpool Lime Street,London Euston,2024-01-03,05:00:00,07:15:00,07:15:00,135.0,On Time,
133,London Euston,Manchester Piccadilly,2024-01-02,08:00:00,09:50:00,09:50:00,110.0,On Time,
134,London St Pancras,Birmingham New Street,2024-01-02,08:00:00,09:20:00,,80.0,Cancelled,Signal Failure
135,Oxford,Bristol Temple Meads,2024-01-02,08:00:00,09:15:00,09:15:00,75.0,On Time,
136,London St Pancras,Birmingham New Street,2024-01-02,08:15:00,09:35:00,09:35:00,80.0,On Time,
137,London Euston,Birmingham New Street,2024-01-02,08:15:00,09:35:00,09:35:00,80.0,On Time,
138,Manchester Piccadilly,Liverpool Lime Street,2024-01-02,08:30:00,09:00:00,09:00:00,30.0,On Time,
139,Manchester Piccadilly,Liverpool Lime Street,2024-01-03,05:30:00,06:00:00,06:00:00,30.0,On Time,
140,London Paddington,Oxford,2024-01-02,07:45:00,09:15:00,09:15:00,90.0,On Time,
141,London Paddington,Reading,2024-01-02,08:45:00,09:45:00,09:45:00,60.0,On Time,
142,London Paddington,Reading,2024-01-02,07:45:00,08:45:00,08:45:00,60.0,On Time,
143,London Euston,Birmingham New Street,2024-01-03,05:45:00,07:05:00,07:05:00,80.0,On Time,
144,Manchester Piccadilly,Liverpool Lime Street,2024-01-02,08:45:00,09:15:00,09:15:00,30.0,On Time,
145,Liverpool Lime Street,Manchester Piccadilly,2024-01-03,05:45:00,06:15:00,06:15:00,30.0,On Time,
146,Manchester Piccadilly,Nottingham,2024-01-02,09:00:00,10:00:00,10:59:00,60.0,Delayed,Signal Failure
147,Manchester Piccadilly,Leeds,2024-01-02,09:00:00,09:45:00,12:39:00,45.0,Delayed,Signal Failure
148,London Kings Cross,York,2024-01-02,09:00:00,10:50:00,10:50:00,110.0,On Time,
149,Manchester Piccadilly,Liverpool Lime Street,2024-01-03,06:00:00,06:30:00,06:30:00,30.0,On Time,
150,Manchester Piccadilly,Liverpool Lime Street,2024-01-02,09:00:00,09:30:00,09:30:00,30.0,On Time,
151,Manchester Piccadilly,Liverpool Lime Street,2024-01-03,06:15:00,06:45:00,,30.0,Cancelled,Signal Failure
152,Manchester Piccadilly,Liverpool Lime Street,2024-01-02,09:15:00,09:45:00,09:45:00,30.0,On Time,
153,Manchester Piccadilly,Liverpool Lime Street,2024-01-03,07:15:00,07:45:00,07:45:00,30.0,On Time,
154,York,Doncaster,2024-01-03,06:30:00,07:00:00,07:00:00,30.0,On Time,
155,Birmingham New Street,London St Pancras,2024-01-03,06:30:00,07:50:00,07:50:00,80.0,On Time,
156,London St Pancras,Birmingham New Street,2024-01-03,06:30:00,07:50:00,07:50:00,80.0,On Time,
157,London Paddington,Oxford,2024-01-03,07:45:00,09:15:00,09:15:00,90.0,On Time,
158,London Kings Cross,York,2024-01-02,09:45:00,11:35:00,,110.0,Cancelled,Staffing
159,London Paddington,Reading,2024-01-03,07:45:00,08:45:00,08:45:00,60.0,On Time,
160,London Kings Cross,York,2024-01-03,06:45:00,08:35:00,08:35:00,110.0,On Time,
161,York,Peterborough,2024-01-03,07:30:00,08:40:00,08:40:00,70.0,On Time,
162,London Kings Cross,York,2024-01-02,10:30:00,12:20:00,12:20:00,110.0,On Time,
163,Liverpool Lime Street,Manchester Piccadilly,2024-01-03,07:30:00,08:00:00,08:00:00,30.0,On Time,
164,Reading,Swindon,2024-01-03,07:30:00,08:15:00,08:15:00,45.0,On Time,
165,Liverpool Lime Street,Manchester Piccadilly,2024-01-02,10:45:00,11:15:00,11:15:00,30.0,On Time,
166,London Kings Cross,York,2024-01-03,07:45:00,09:35:00,09:35:00,110.0,On Time,
167,London Euston,Manchester Piccadilly,2024-01-03,08:00:00,09:50:00,09:50:00,110.0,On Time,
168,Liverpool Lime Street,London Euston,2024-01-03,08:00:00,10:15:00,11:09:00,135.0,Delayed,Weather
169,London Kings Cross,York,2024-01-02,11:00:00,12:50:00,12:50:00,110.0,On Time,
170,London St Pancras,Birmingham New Street,2024-01-02,11:00:00,12:20:00,12:20:00,80.0,On Time,
171,London Euston,Manchester Piccadilly,2024-01-03,07:45:00,09:35:00,09:35:00,110.0,On Time,
172,Manchester Piccadilly,Liverpool Lime Street,2024-01-02,11:15:00,11:45:00,11:45:00,30.0,On Time,
173,London Euston,Birmingham New Street,2024-01-03,08:15:00,09:35:00,,80.0,Cancelled,Signal Failure
174,London Euston,Birmingham New Street,2024-01-03,09:45:00,11:05:00,11:05:00,80.0,On Time,
175,London Paddington,Reading,2024-01-03,08:45:00,09:45:00,09:45:00,60.0,On Time,
176,Manchester Piccadilly,Leeds,2024-01-03,09:00:00,09:45:00,10:22:00,45.0,Delayed,Signal Failure
177,Liverpool Lime Street,Manchester Piccadilly,2024-01-03,09:00:00,09:30:00,09:30:00,30.0,On Time,
178,London St Pancras,Birmingham New Street,2024-01-02,12:00:00,13:20:00,13:20:00,80.0,On Time,
179,London Paddington,Reading,2024-01-03,09:00:00,10:00:00,10:00:00,60.0,On Time,
180,London Kings Cross,Liverpool Lime Street,2024-01-03,09:15:00,11:30:00,11:30:00,135.0,On Time,
181,Liverpool Lime Street,Manchester Piccadilly,2024-01-02,11:15:00,11:45:00,12:17:00,30.0,Delayed,Technical Issue
182,London Kings Cross,York,2024-01-03,09:30:00,11:20:00,11:20:00,110.0,On Time,
183,London Euston,Birmingham New Street,2024-01-03,09:30:00,10:50:00,10:50:00,80.0,On Time,
184,London Paddington,Reading,2024-01-02,12:45:00,13:45:00,13:45:00,60.0,On Time,
185,York,Edinburgh,2024-01-02,12:45:00,15:15:00,15:15:00,150.0,On Time,
186,London Euston,Birmingham New Street,2024-01-02,12:45:00,14:05:00,14:05:00,80.0,On Time,
187,Reading,London Paddington,2024-01-02,13:30:00,13:55:00,,25.0,Cancelled,Staffing
188,London Kings Cross,York,2024-01-03,10:30:00,12:20:00,12:20:00,110.0,On Time,
189,Manchester Piccadilly,Liverpool Lime Street,2024-01-02,13:30:00,14:00:00,14:00:00,30.0,On Time,
190,Manchester Piccadilly,Liverpool Lime Street,2024-01-03,11:00:00,11:30:00,14:24:00,30.0,Delayed,Staffing
191,London St Pancras,Birmingham New Street,2024-01-03,11:00:00,12:20:00,12:20:00,80.0,On Time,
192,London Kings Cross,York,2024-01-03,11:00:00,12:50:00,12:50:00,110.0,On Time,
193,Manchester Piccadilly,Liverpool Lime Street,2024-01-02,14:30:00,15:00:00,15:00:00,30.0,On Time,
194,London Kings Cross,York,2024-01-02,14:30:00,16:20:00,16:20:00,110.0,On Time,
195,London Euston,Birmingham New Street,2024-01-03,11:45:00,13:05:00,13:05:00,80.0,On Time,
196,London Kings Cross,York,2024-01-03,11:45:00,13:35:00,13:35:00,110.0,On Time,
197,London St Pancras,Birmingham New Street,2024-01-03,12:00:00,13:20:00,13:20:00,80.0,On Time,
198,London Paddington,Reading,2024-01-02,15:00:00,16:00:00,16:00:00,60.0,On Time,
199,London St Pancras,Birmingham New Street,2024-01-02,15:15:00,16:35:00,16:35:00,80.0,On Time,
200,London Paddington,Reading,2024-01-02,15:30:00,16:30:00,16:30:00,60.0,On Time,
201,London Euston,Birmingham New Street,2024-01-03,12:45:00,14:05:00,14:05:00,80.0,On Time,
202,York,Edinburgh,2024-01-02,15:45:00,18:15:00,18:15:00,150.0,On Time,
203,London Paddington,Reading,2024-01-03,12:45:00,13:45:00,,60.0,Cancelled,Technical Issue
204,London Euston,Birmingham New Street,2024-01-02,15:45:00,17:05:00,17:05:00,80.0,On Time,
205,York,Peterborough,2024-01-02,16:00:00,17:10:00,17:10:00,70.0,On Time,
206,Liverpool Lime Street,Manchester Piccadilly,2024-01-02,16:00:00,16:30:00,16:30:00,30.0,On Time,
207,London St Pancras,Birmingham New Street,2024-01-02,16:00:00,17:20:00,17:20:00,80.0,On Time,
208,London Kings Cross,York,2024-01-02,16:15:00,18:05:00,18:05:00,110.0,On Time,
209,Manchester Piccadilly,Liverpool Lime Street,2024-01-02,16:15:00,16:45:00,16:45:00,30.0,On Time,
210,Liverpool Lime Street,Manchester Piccadilly,2024-01-03,13:15:00,13:45:00,13:45:00,30.0,On Time,
211,Manchester Piccadilly,London Paddington,2024-01-03,13:45:00,16:00:00,16:00:00,135.0,On Time,
212,Reading,Swindon,2024-01-02,17:45:00,18:30:00,18:30:00,45.0,On Time,
213,Birmingham New Street,Stafford,2024-01-02,17:45:00,18:15:00,18:15:00,30.0,On Time,
214,London Kings Cross,York,2024-01-02,17:15:00,19:05:00,19:05:00,110.0,On Time,
215,Liverpool Lime Street,Manchester Piccadilly,2024-01-02,17:15:00,17:45:00,17:45:00,30.0,On Time,
216,Manchester Piccadilly,Liverpool Lime Street,2024-01-02,17:45:00,18:15:00,18:15:00,30.0,On Time,
217,Liverpool Lime Street,London Euston,2024-01-03,15:30:00,17:45:00,18:14:00,135.0,Delayed,Staffing
218,Manchester Piccadilly,Liverpool Lime Street,2024-01-03,14:45:00,15:15:00,15:15:00,30.0,On Time,
219,York,Edinburgh,2024-01-03,14:45:00,17:15:00,17:15:00,150.0,On Time,
220,London Kings Cross,York,2024-01-03,15:00:00,16:50:00,16:50:00,110.0,On Time,
221,London Paddington,Reading,2024-01-03,15:00:00,16:00:00,16:00:00,60.0,On Time,
222,London Euston,Birmingham New Street,2024-01-03,15:30:00,16:50:00,,80.0,Cancelled,Weather
223,Reading,London Paddington,2024-01-03,15:30:00,15:55:00,15:55:00,25.0,On Time,
224,Birmingham New Street,Stafford,2024-01-02,18:45:00,19:15:00,19:15:00,30.0,On Time,
225,Birmingham New Street,Tamworth,2024-01-02,18:45:00,19:05:00,19:05:00,20.0,On Time,
226,London St Pancras,Wolverhampton,2024-01-02,18:45:00,20:15:00,20:15:00,90.0,On Time,
227,London Paddington,Reading,2024-01-03,15:45:00,16:45:00,16:45:00,60.0,On Time,
228,Manchester Piccadilly,Liverpool Lime Street,2024-01-02,18:45:00,19:15:00,19:15:00,30.0,On Time,
229,London Euston,Manchester Piccadilly,2024-01-02,18:45:00,20:35:00,20:35:00,110.0,On Time,
230,Liverpool Lime Street,Crewe,2024-01-02,18:45:00,19:20:00,19:20:00,35.0,On Time,
231,London Paddington,Reading,2024-01-03,16:00:00,17:00:00,17:00:00,60.0,On Time,
232,London Euston,Birmingham New Street,2024-01-03,16:00:00,17:20:00,17:20:00,80.0,On Time,
233,Manchester Piccadilly,Liverpool Lime Street,2024-01-03,16:00:00,16:30:00,16:30:00,30.0,On Time,
234,London Kings Cross,York,2024-01-03,16:00:00,17:50:00,17:50:00,110.0,On Time,
235,London St Pancras,Birmingham New Street,2024-01-02,19:00:00,20:20:00,20:20:00,80.0,On Time,
236,London Kings Cross,York,2024-01-03,16:15:00,18:05:00,18:05:00,110.0,On Time,
237,Birmingham New Street,Manchester Piccadilly,2024-01-03,16:15:00,17:35:00,17:35:00,80.0,On Time,
238,Liverpool Lime Street,Leeds,2024-01-03,16:30:00,18:00:00,18:00:00,90.0,On Time,
239,London Kings Cross,York,2024-01-02,19:30:00,21:20:00,21:20:00,110.0,On Time,
240,Manchester Piccadilly,London Kings Cross,2024-01-03,16:30:00,18:45:00,18:45:00,135.0,On Time,
241,Liverpool Lime Street,London Euston,2024-01-03,17:30:00,19:45:00,20:10:00,135.0,Delayed,Technical Issue
242,London St Pancras,Leicester,2024-01-02,18:45:00,19:45:00,19:45:00,60.0,On Time,
243,Liverpool Lime Street,Manchester Piccadilly,2024-01-02,19:45:00,20:15:00,20:15:00,30.0,On Time,
244,London Kings Cross,York,2024-01-03,17:00:00,18:50:00,18:50:00,110.0,On Time,
245,Liverpool Lime Street,Manchester Piccadilly,2024-01-02,20:00:00,20:30:00,20:30:00,30.0,On Time,
246,Manchester Piccadilly,Liverpool Lime Street,2024-01-03,17:00:00,17:30:00,17:30:00,30.0,On Time,
247,London Euston,Birmingham New Street,2024-01-03,17:15:00,18:35:00,18:35:00,80.0,On Time,
248,London Kings Cross,York,2024-01-03,17:15:00,19:05:00,19:05:00,110.0,On Time,
249,London Kings Cross,Liverpool Lime Street,2024-01-02,20:15:00,22:30:00,22:30:00,135.0,On Time,
250,London St Pancras,Birmingham New Street,2024-01-03,17:45:00,19:05:00,19:05:00,80.0,On Time,
251,Manchester Piccadilly,Liverpool Lime Street,2024-01-03,17:45:00,18:15:00,18:15:00,30.0,On Time,
252,Reading,Swindon,2024-01-03,17:45:00,18:30:00,18:30:00,45.0,On Time,
253,Manchester Piccadilly,Liverpool Lime Street,2024-01-03,18:45:00,19:15:00,,30.0,Cancelled,Staffing
254,London Euston,Birmingham New Street,2024-01-03,17:45:00,19:05:00,,80.0,Cancelled,Technical Issue
255,London Paddington,Reading,2024-01-03,18:30:00,19:30:00,19:30:00,60.0,On Time,
256,Liverpool Lime Street,Manchester Piccadilly,2024-01-02,21:30:00,22:00:00,22:00:00,30.0,On Time,
257,Liverpool Lime Street,Manchester Piccadilly,2024-01-03,18:30:00,19:00:00,19:00:00,30.0,On Time,
258,London Kings Cross,York,2024-01-03,18:30:00,20:20:00,20:20:00,110.0,On Time,
259,London Euston,Birmingham New Street,2024-01-02,21:30:00,22:50:00,,80.0,Cancelled,Staffing
260,London St Pancras,Birmingham New Street,2024-01-03,18:45:00,20:05:00,20:05:00,80.0,On Time,
261,Birmingham New Street,Tamworth,2024-01-03,18:45:00,19:05:00,19:05:00,20.0,On Time,
262,Birmingham New Street,Nuneaton,2024-01-03,18:45:00,19:05:00,19:05:00,20.0,On Time,
263,London Euston,Manchester Piccadilly,2024-01-03,18:45:00,20:35:00,20:35:00,110.0,On Time,
264,London Kings Cross,York,2024-01-03,17:45:00,19:35:00,19:35:00,110.0,On Time,
265,London Paddington,Reading,2024-01-03,17:45:00,18:45:00,18:45:00,60.0,On Time,
266,Birmingham New Street,Stafford,2024-01-03,17:45:00,18:15:00,18:15:00,30.0,On Time,
267,London Kings Cross,York,2024-01-02,22:00:00,23:50:00,23:50:00,110.0,On Time,
268,London Kings Cross,York,2024-01-02,22:15:00,00:05:00,00:05:00,110.0,On Time,
