Transaction ID,Journey_ID,Ticket_ID,Refund_ID,Date of Purchase,Time of Purchase,Purchase Type,Payment Method,Railcard,Price,Price Category,Actual Journey Duration,Delay (Minutes)
6b62b452-c491-468d-b39c,18,1,1,2023-12-31,09:12:21,Online,Credit Card,No Railcard,35,Medium,110.0,0.0
85e38992-6c6c-4569-914e,19,1,1,2023-12-31,10:42:22,Online,Credit Card,No Railcard,35,Medium,110.0,0.0
8dfbf0fc-aea0-424f-b30e,20,1,2,2023-12-31,11:57:15,Station,Debit Card,Adult,7,Low,111.0,31.0
a478f358-044d-4000-b70e,21,1,1,2023-12-31,12:11:47,Station,Credit Card,Disabled,2,Low,30.0,0.0
d4ea6940-7228-41ef-9eae,22,1,1,2023-12-31,13:33:39,Online,Credit Card,Senior,23,Medium,110.0,0.0
89f2160c-666b-4925-86b6,23,1,1,2023-12-31,14:23:09,Station,Contactless,No Railcard,7,Low,80.0,0.0
fd00a134-7056-441c-919f,24,1,1,2023-12-31,14:53:44,Online,Credit Card,No Railcard,7,Low,80.0,0.0
842da93c-b820-42dc-ad4f,25,1,1,2023-12-31,15:19:53,Online,Contactless,No Railcard,86,High,135.0,0.0
74462231-5241-46f4-8328,26,2,2,2023-12-31,15:53:46,Online,Credit Card,Senior,34,Medium,99.0,24.0
7267c284-5f19-41ef-8350,27,1,1,2023-12-31,16:44:05,Station,Credit Card,No Railcard,13,Low,60.0,0.0
3c375a4c-7ba3-45e9-a9cd,28,1,1,2023-12-31,18:01:58,Online,Contactless,No Railcard,7,Low,80.0,0.0
5b0638b1-ee1d-4a6f-8c29,29,2,1,2023-12-31,18:39:00,Online,Credit Card,No Railcard,57,High,110.0,0.0
e40c1f61-b648-41c2-8151,30,1,1,2023-12-31,19:33:15,Station,Debit Card,No Railcard,8,Low,80.0,0.0
aa40e9b5-3ab7-4d40-a949,31,1,1,2023-12-31,19:45:53,Online,Credit Card,No Railcard,13,Low,60.0,0.0
be8bee7f-2e6f-450e-90ed,32,1,1,2023-12-31,20:20:25,Station,Contactless,No Railcard,35,Medium,110.0,0.0
14792f87-d2ad-47be-8cdb,33,1,1,2023-12-31,20:21:58,Online,Credit Card,No Railcard,5,Low,20.0,0.0
a3a42b1b-bf7f-43d9-b63c,34,3,1,2024-01-01,01:10:20,Station,Contactless,No Railcard,10,Low,80.0,0.0
ea7108cf-382b-4794-aa8c,35,3,1,2024-01-01,01:16:20,Online,Contactless,No Railcard,4,Low,30.0,0.0
d8275e2a-8493-4b30-b6e0,36,3,1,2024-01-01,03:02:34,Station,Contactless,No Railcard,12,Low,80.0,0.0
b7cf7da5-b4c2-4e24-897c,37,3,1,2024-01-01,03:03:49,Online,Credit Card,No Railcard,33,Medium,80.0,0.0
58a7ad60-8670-41a4-87ba,38,3,1,2024-01-01,03:35:48,Online,Credit Card,Adult,3,Low,30.0,0.0
69eaff73-ca3a-4831-905b,39,1,1,2024-01-01,03:52:29,Online,Credit Card,No Railcard,7,Low,,
5f7dd36c-6a06-49bc-9ff6,40,3,1,2024-01-01,04:09:42,Station,Credit Card,No Railcard,4,Low,30.0,0.0
5e9a7d23-03aa-4283-92b7,41,4,1,2024-01-01,04:31:41,Station,Credit Card,Disabled,4,Low,30.0,0.0
15f1839c-33c7-4528-9e7b,6,4,1,2024-01-01,04:54:54,Online,Credit Card,No Railcard,70,High,110.0,0.0
cba78e3f-e1da-4e36-9b9e,42,4,1,2024-01-01,05:05:29,Station,Contactless,No Railcard,70,High,110.0,0.0
41327548-3375-456d-8c38,43,4,1,2024-01-01,05:07:28,Station,Credit Card,No Railcard,16,Low,80.0,0.0
767314a0-f839-4607-a3d3,44,2,1,2024-01-01,05:09:30,Station,Credit Card,No Railcard,134,Very High,121.0,11.0
a9b958eb-96a2-482c-a58b,15,4,1,2024-01-01,05:14:54,Online,Credit Card,Disabled,29,Medium,80.0,0.0
4f8cc55f-6a99-4aee-b432,45,4,1,2024-01-01,05:17:46,Station,Contactless,Adult,47,Medium,110.0,0.0
d1bc1602-126f-4d9c-844b,18,4,1,2024-01-01,06:08:28,Online,Credit Card,No Railcard,70,High,110.0,0.0
721b269a-cde8-4732-9660,46,4,1,2024-01-01,06:14:16,Online,Credit Card,No Railcard,6,Low,90.0,0.0
93aa0df7-c7f6-4a4d-b916,47,4,1,2024-01-01,06:18:48,Station,Credit Card,No Railcard,70,High,110.0,0.0
382d60f9-9fe0-4920-97e4,48,4,1,2024-01-01,06:34:08,Station,Credit Card,No Railcard,151,Very High,159.0,24.0
a1bccead-6e5d-40da-8fff,49,4,1,2024-01-01,06:41:14,Online,Credit Card,No Railcard,16,Low,80.0,0.0
1980a44e-8393-45ad-af0d,50,4,1,2024-01-01,06:48:45,Station,Credit Card,No Railcard,7,Low,45.0,0.0
c259ac89-af76-4e8b-8983,51,4,1,2024-01-01,07:20:14,Online,Contactless,No Railcard,25,Medium,60.0,0.0
c0a64306-e4dc-49e1-9bc8,16,4,1,2024-01-01,07:23:47,Online,Credit Card,No Railcard,25,Medium,60.0,0.0
fbc2d08b-da84-4a2a-8ac3,52,3,1,2024-01-01,07:46:41,Station,Credit Card,No Railcard,5,Low,30.0,0.0
7a3cd851-586a-4e7c-9c05,53,1,1,2024-01-01,08:12:21,Online,Credit Card,Disabled,15,Low,80.0,0.0
fcfb1bd4-7f21-4dd8-8cdd,54,1,1,2024-01-01,08:14:05,Online,Credit Card,Disabled,21,Medium,90.0,0.0
d316a332-a071-4dfe-b17a,55,1,1,2024-01-01,08:26:41,Online,Credit Card,No Railcard,3,Low,30.0,0.0
a359c3a5-b9b6-4850-989d,56,3,1,2024-01-01,09:18:59,Station,Credit Card,Senior,7,Low,80.0,0.0
711c08ba-eb61-44ba-821a,57,2,1,2024-01-01,09:30:09,Station,Credit Card,No Railcard,134,Very High,128.0,18.0
ad0028c4-0e4b-4863-a60b,58,3,1,2024-01-01,10:17:33,Online,Credit Card,No Railcard,53,High,110.0,0.0
1d704d30-6e8b-47f4-9dc4,59,3,1,2024-01-01,11:55:41,Station,Contactless,Senior,3,Low,30.0,0.0
e46c007e-fe74-467f-b274,60,3,1,2024-01-01,12:54:54,Online,Contactless,No Railcard,12,Low,80.0,0.0
1348ec1b-30cf-4135-acca,61,3,1,2024-01-01,14:02:52,Station,Contactless,No Railcard,19,Low,60.0,0.0
060f4ea5-625c-46b5-9ed3,62,4,1,2024-01-01,14:30:03,Station,Contactless,Senior,3,Low,30.0,0.0
782e098c-c36d-4696-9e8e,63,4,1,2024-01-01,14:42:17,Station,Credit Card,Adult,9,Low,80.0,0.0
9082a416-480e-4ca4-bf9d,64,4,1,2024-01-01,15:39:11,Station,Credit Card,No Railcard,151,Very High,135.0,0.0
dffb36dc-c44b-4ad8-9f89,65,5,1,2024-01-01,15:45:47,Online,Contactless,No Railcard,20,Low,30.0,0.0
fc64bf09-5c48-434b-b4e3,66,5,1,2024-01-01,16:03:03,Station,Credit Card,No Railcard,19,Low,30.0,0.0
3ef7b8e5-cce4-478e-af39,67,1,1,2024-01-01,16:41:05,Online,Credit Card,No Railcard,8,Low,80.0,0.0
fdb5ad84-613f-4dc5-9665,68,4,1,2024-01-01,17:02:28,Online,Credit Card,Adult,4,Low,30.0,0.0
5be3ae51-fe04-424d-b788,69,2,1,2024-01-01,17:11:31,Online,Credit Card,No Railcard,54,High,80.0,0.0
757917d1-c865-4ed6-8e20,70,4,1,2024-01-01,17:17:53,Online,Credit Card,No Railcard,16,Low,80.0,0.0
a88f097f-bda3-4394-9c7d,71,2,1,2024-01-01,17:43:02,Station,Debit Card,Disabled,35,Medium,,
972bd9ae-3643-41ee-941c,72,1,1,2024-01-01,18:39:18,Online,Credit Card,Adult,5,Low,80.0,0.0
96a1e6fc-de4a-4bfc-908c,73,1,1,2024-01-01,19:32:26,Station,Debit Card,No Railcard,8,Low,80.0,0.0
0af810d4-5b61-44c9-bbdf,74,2,1,2024-01-01,19:33:56,Station,Credit Card,No Railcard,54,High,80.0,0.0
7837fefa-5e1c-4a24-a6ac,75,1,1,2024-01-01,20:22:05,Online,Credit Card,No Railcard,8,Low,80.0,0.0
e98a19e1-88ba-4701-b2f4,76,2,1,2024-01-01,20:24:38,Station,Contactless,No Railcard,57,High,110.0,0.0
0abbbeb2-364d-4e15-8c07,77,1,1,2024-01-01,20:54:46,Station,Credit Card,No Railcard,3,Low,30.0,0.0
7871fd56-e537-4828-aee9,78,2,1,2024-01-01,21:46:29,Station,Credit Card,No Railcard,10,Low,30.0,0.0
860de888-c861-4ff2-a531,79,1,1,2024-01-01,21:52:50,Station,Contactless,No Railcard,3,Low,30.0,0.0
4d9a02fd-a230-4a46-be11,80,2,1,2024-01-01,22:44:51,Online,Contactless,Adult,6,Low,30.0,0.0
454bbd30-83d7-403f-ad59,81,2,1,2024-01-01,23:06:07,Station,Credit Card,No Railcard,54,High,80.0,0.0
f38532b2-cfb6-478c-ae1c,82,3,1,2024-01-02,00:14:32,Station,Credit Card,Adult,17,Low,75.0,0.0
30633df2-dd57-4473-84ba,83,3,1,2024-01-02,00:24:08,Online,Contactless,No Railcard,11,Low,50.0,0.0
86b1f064-06a4-4152-9b81,84,3,1,2024-01-02,00:26:21,Station,Credit Card,Adult,84,High,110.0,0.0
5ec99341-0955-41dc-92b2,83,3,1,2024-01-02,00:27:40,Online,Contactless,No Railcard,11,Low,50.0,0.0
148cc904-8fa9-4e28-ac1e,85,6,1,2024-01-02,00:37:20,Online,Credit Card,No Railcard,41,Medium,60.0,0.0
8a66ead7-e381-4311-b667,39,3,2,2024-01-02,00:54:33,Online,Credit Card,No Railcard,10,Low,,
97c7b22b-ff75-43b0-b296,86,1,1,2024-01-02,01:01:01,Online,Credit Card,No Railcard,3,Low,30.0,0.0
b63a3586-29cc-43ea-905d,87,3,1,2024-01-02,01:11:57,Online,Contactless,No Railcard,4,Low,30.0,0.0
935dd774-378e-49a1-87cf,88,1,1,2024-01-02,01:17:27,Online,Contactless,Disabled,23,Medium,110.0,0.0
f3a6143f-0d4e-40df-83b0,89,1,1,2024-01-02,01:19:18,Online,Contactless,Disabled,5,Low,50.0,0.0
bb416517-39a2-4db5-b9be,90,3,1,2024-01-02,01:22:25,Online,Credit Card,No Railcard,5,Low,30.0,0.0
5579a244-2516-4511-8b57,89,1,1,2024-01-02,01:26:15,Online,Contactless,Disabled,5,Low,50.0,0.0
2a2eb6c9-689e-473d-9e6c,91,2,1,2024-01-02,01:40:08,Online,Contactless,Adult,6,Low,30.0,0.0
7703c1a2-5115-436c-9bc6,92,1,1,2024-01-02,01:51:12,Station,Credit Card,No Railcard,3,Low,30.0,0.0
97e4266f-7f58-4a5f-9969,93,3,1,2024-01-02,01:52:53,Station,Credit Card,No Railcard,19,Low,60.0,0.0
c57dd321-4e2f-46c0-8cfb,44,6,1,2024-01-02,02:13:53,Station,Credit Card,No Railcard,200,Very High,121.0,11.0
4ddb887e-c15d-48f2-96af,94,1,1,2024-01-02,03:03:36,Online,Contactless,Disabled,2,Low,30.0,0.0
17027141-9b2d-42b1-a4c9,95,1,1,2024-01-02,03:05:40,Online,Contactless,Disabled,5,Low,80.0,0.0
21cb445d-719e-4b9b-8ed8,96,3,1,2024-01-02,03:12:53,Station,Contactless,No Railcard,12,Low,80.0,0.0
7c7a86b0-266e-496e-b45d,97,1,1,2024-01-02,03:21:34,Online,Credit Card,No Railcard,86,High,135.0,0.0
41a8d734-4dc8-45bd-8914,98,1,1,2024-01-02,03:26:31,Station,Contactless,No Railcard,35,Medium,110.0,0.0
caa24b1d-c3e2-4ef5-9262,99,1,1,2024-01-02,03:27:03,Station,Credit Card,No Railcard,10,Low,90.0,0.0
32ee6cef-e35f-4747-a031,100,1,1,2024-01-02,03:30:17,Station,Credit Card,No Railcard,3,Low,30.0,0.0
c9ce6b19-30d8-4b5b-912b,101,1,1,2024-01-02,03:30:57,Online,Credit Card,Disabled,8,Low,60.0,0.0
d8f26c88-4e2e-4cca-af4b,101,2,1,2024-01-02,03:32:43,Station,Credit Card,No Railcard,27,Medium,60.0,0.0
d618c56f-3512-484d-9876,102,3,2,2024-01-02,03:33:32,Station,Credit Card,No Railcard,12,Low,,
d60a6bf7-1847-4ffd-83f3,101,1,1,2024-01-02,03:36:25,Station,Credit Card,No Railcard,13,Low,60.0,0.0
c1d5ff1e-8ef7-4bbb-b289,103,1,1,2024-01-02,03:38:22,Online,Credit Card,No Railcard,35,Medium,110.0,0.0
44567a90-6660-4d0f-bc10,104,3,1,2024-01-02,03:48:41,Online,Contactless,No Railcard,10,Low,80.0,0.0
d4f17a6e-2e59-419d-8734,105,3,1,2024-01-02,04:24:17,Station,Credit Card,No Railcard,4,Low,30.0,0.0
51106ced-bbbd-425b-a856,106,3,1,2024-01-02,04:26:10,Station,Credit Card,No Railcard,10,Low,80.0,0.0
ce811130-f204-4243-8392,107,1,1,2024-01-02,04:31:39,Online,Credit Card,No Railcard,3,Low,30.0,0.0
c160b270-46a7-414e-90f5,108,4,1,2024-01-02,04:37:26,Online,Contactless,No Railcard,5,Low,30.0,0.0
e5e8c888-b22e-4bf5-aaf6,109,4,1,2024-01-02,04:47:49,Online,Contactless,Adult,47,Medium,140.0,30.0
671ede8a-bbb1-4b75-852a,110,1,1,2024-01-02,04:49:16,Station,Credit Card,No Railcard,13,Low,60.0,0.0
326a3109-dbce-4572-af36,111,4,1,2024-01-02,04:49:26,Online,Debit Card,Senior,17,Low,60.0,0.0
961476a2-180f-4fb6-9777,111,4,1,2024-01-02,04:49:28,Online,Debit Card,Senior,17,Low,60.0,0.0
e8ac00a5-dbb2-490f-afb5,112,4,1,2024-01-02,04:57:54,Online,Credit Card,Senior,3,Low,30.0,0.0
dc236178-ccb3-4aa1-9cea,109,4,1,2024-01-02,04:58:57,Online,Debit Card,No Railcard,70,High,140.0,30.0
b9732a42-f970-40d3-a1f7,112,4,1,2024-01-02,04:59:57,Online,Credit Card,Senior,3,Low,30.0,0.0
6398950a-acca-4514-82aa,113,5,1,2024-01-02,05:04:08,Online,Credit Card,No Railcard,14,Low,30.0,0.0
6e779150-0479-440d-8389,114,4,1,2024-01-02,05:04:15,Online,Credit Card,No Railcard,13,Low,80.0,0.0
704ee1a5-aa39-49b6-b489,53,4,1,2024-01-02,05:05:21,Online,Credit Card,Disabled,29,Medium,80.0,0.0
45843d84-051f-4f20-8129,115,5,1,2024-01-02,05:06:12,Station,Credit Card,No Railcard,107,Very High,80.0,0.0
a6ab593b-474f-41a5-bab9,116,1,1,2024-01-02,05:07:05,Station,Credit Card,No Railcard,84,High,128.0,18.0
892a0ecf-0a92-4468-80f7,117,4,1,2024-01-02,05:08:58,Station,Credit Card,Adult,27,Medium,80.0,0.0
62d5c437-eae8-4cdd-9a9e,118,4,1,2024-01-02,05:10:12,Online,Credit Card,Disabled,7,Low,30.0,0.0
f59d227c-75ef-40d7-b3d0,119,4,1,2024-01-02,05:10:28,Online,Debit Card,No Railcard,143,Very High,110.0,0.0
43f6e2cc-1e3c-4485-b3d5,54,4,1,2024-01-02,05:11:07,Online,Credit Card,Disabled,43,Medium,90.0,0.0
7cce43e2-e42c-4f96-bb39,120,4,1,2024-01-02,05:22:59,Station,Credit Card,No Railcard,5,Low,30.0,0.0
b844490f-5176-426e-951b,121,1,1,2024-01-02,05:32:11,Online,Credit Card,Adult,23,Medium,110.0,0.0
e1820c0f-19d6-4b0f-83bb,121,1,1,2024-01-02,05:39:26,Online,Contactless,No Railcard,35,Medium,110.0,0.0
25020a8c-b03d-41b4-9b03,122,4,1,2024-01-02,05:50:39,Online,Credit Card,No Railcard,13,Low,80.0,0.0
e1f43707-2749-44c2-a7b2,123,4,1,2024-01-02,06:00:14,Station,Credit Card,No Railcard,13,Low,80.0,0.0
99a8ff6a-a712-455f-9fc1,124,4,1,2024-01-02,06:01:54,Online,Credit Card,No Railcard,70,High,110.0,0.0
92a922af-b2e9-480c-80c4,125,4,1,2024-01-02,06:04:35,Station,Contactless,No Railcard,6,Low,30.0,0.0
4731f61c-7199-4a3e-9b47,124,4,1,2024-01-02,06:05:20,Online,Credit Card,No Railcard,70,High,110.0,0.0
a6a7421b-1640-49f2-8904,126,1,1,2024-01-02,06:06:49,Station,Contactless,No Railcard,8,Low,80.0,0.0
43503dfa-4ff2-475c-bc7c,127,1,1,2024-01-02,06:08:48,Online,Credit Card,No Railcard,22,Medium,80.0,0.0
a27e99cd-cc93-4483-819c,128,4,1,2024-01-02,06:09:57,Online,Credit Card,No Railcard,18,Low,45.0,0.0
e50e2ca3-9818-4a4c-a19b,129,4,1,2024-01-02,06:21:22,Station,Credit Card,No Railcard,70,High,110.0,0.0
d1e985a0-35b2-4edf-9653,130,4,1,2024-01-02,06:31:43,Online,Contactless,No Railcard,13,Low,80.0,0.0
eace2ada-5294-47e6-b4b8,131,5,1,2024-01-02,06:33:00,Station,Credit Card,No Railcard,235,Very High,,
b1c674dc-435d-4485-b654,131,4,1,2024-01-02,06:33:10,Station,Credit Card,No Railcard,151,Very High,,
6a6595e4-0d2c-490a-8cdc,132,2,1,2024-01-02,06:34:11,Station,Credit Card,Adult,78,High,135.0,0.0
0713aec5-3bd8-4086-a92f,131,4,1,2024-01-02,06:34:46,Station,Credit Card,No Railcard,151,Very High,,
e149328e-6ed5-4d7c-ab84,133,4,1,2024-01-02,06:35:02,Online,Debit Card,No Railcard,143,Very High,110.0,0.0
40a90cc6-8d79-43d6-8929,131,4,1,2024-01-02,06:37:09,Station,Credit Card,No Railcard,151,Very High,,
a3102fe0-5d21-4e37-b5ee,134,4,1,2024-01-02,06:38:39,Online,Credit Card,No Railcard,16,Low,,
1e528e8b-bc64-4e79-a1b7,135,4,1,2024-01-02,06:41:24,Online,Contactless,No Railcard,34,Medium,75.0,0.0
63a8b7d1-22cb-4399-bb1d,131,4,1,2024-01-02,06:42:03,Station,Credit Card,No Railcard,151,Very High,,
f5077bd8-c17b-4105-94d5,132,1,1,2024-01-02,06:42:12,Station,Credit Card,Adult,50,Medium,135.0,0.0
5c4f45c6-12fd-44b0-8f71,136,4,1,2024-01-02,06:45:49,Online,Credit Card,Adult,11,Low,80.0,0.0
44dcf701-65e1-41ac-84c0,137,4,1,2024-01-02,06:58:18,Online,Credit Card,No Railcard,13,Low,80.0,0.0
8bbc9704-218e-4baf-93c5,138,4,1,2024-01-02,07:04:40,Online,Credit Card,Adult,3,Low,30.0,0.0
38c6bacb-6178-4662-a775,139,2,1,2024-01-02,07:05:39,Station,Credit Card,No Railcard,10,Low,30.0,0.0
b3573007-19e4-4e38-9a51,140,4,1,2024-01-02,07:16:54,Online,Credit Card,No Railcard,35,Medium,90.0,0.0
414e9fd0-9e4a-4fa1-8711,141,4,1,2024-01-02,07:18:16,Online,Contactless,No Railcard,25,Medium,60.0,0.0
48b383a5-3a8c-4851-85c1,142,4,1,2024-01-02,07:20:01,Online,Credit Card,No Railcard,25,Medium,60.0,0.0
18f0890f-ae83-4b11-a3b6,143,1,1,2024-01-02,07:23:03,Station,Credit Card,No Railcard,7,Low,80.0,0.0
aad2da3a-222b-43e7-83a9,144,4,1,2024-01-02,07:23:13,Station,Contactless,No Railcard,5,Low,30.0,0.0
e9f785bf-ee3d-44db-b2e1,140,4,1,2024-01-02,07:23:34,Online,Credit Card,No Railcard,35,Medium,90.0,0.0
48f19194-1ea5-403c-9c0a,129,4,1,2024-01-02,07:24:34,Online,Credit Card,No Railcard,70,High,110.0,0.0
1044df92-a0fd-4a75-bb01,145,1,1,2024-01-02,07:28:16,Online,Credit Card,Disabled,2,Low,30.0,0.0
dd9f24a6-c77c-4558-a041,142,4,1,2024-01-02,07:29:21,Online,Credit Card,No Railcard,25,Medium,60.0,0.0
abbbe382-faca-4289-b9b7,146,3,1,2024-01-02,07:32:42,Station,Contactless,Adult,12,Low,119.0,59.0
32cabb23-6a69-44e5-a418,147,3,1,2024-01-02,07:33:03,Station,Contactless,Adult,10,Low,219.0,174.0
d4c3baad-ee24-41f4-8d41,148,6,1,2024-01-02,07:33:15,Online,Credit Card,No Railcard,86,High,110.0,0.0
62b88907-0ae1-4654-a62a,149,1,1,2024-01-02,07:33:23,Online,Contactless,No Railcard,3,Low,30.0,0.0
08af5c73-f438-46e2-b401,148,3,1,2024-01-02,07:36:35,Online,Debit Card,Senior,35,Medium,110.0,0.0
dbc35238-0f8a-40f0-b62b,149,1,1,2024-01-02,07:36:37,Online,Contactless,No Railcard,3,Low,30.0,0.0
6813fc61-5ad1-4c64-b7c1,150,3,1,2024-01-02,07:36:53,Online,Contactless,No Railcard,4,Low,30.0,0.0
abcbca79-681d-4c5e-8867,151,1,2,2024-01-02,07:49:40,Online,Credit Card,Senior,2,Low,,
e40c6c02-317d-47c4-8aa9,152,3,1,2024-01-02,07:50:50,Online,Contactless,Adult,3,Low,30.0,0.0
c0eace8f-2e1d-4c07-8021,153,1,1,2024-01-02,07:54:11,Online,Credit Card,No Railcard,3,Low,30.0,0.0
cf96a262-65bb-4636-9f8e,154,1,1,2024-01-02,08:00:20,Online,Credit Card,Disabled,4,Low,30.0,0.0
57d4ae3a-5ada-4247-8b29,155,1,1,2024-01-02,08:01:16,Online,Credit Card,Disabled,15,Low,80.0,0.0
2938ca8c-fb70-489c-88fa,156,1,1,2024-01-02,08:02:35,Station,Credit Card,No Railcard,8,Low,80.0,0.0
72216639-8cbb-494d-ab4e,156,1,1,2024-01-02,08:11:33,Station,Credit Card,No Railcard,8,Low,80.0,0.0
1c184862-4155-410f-b111,157,1,1,2024-01-02,08:15:45,Online,Credit Card,No Railcard,18,Low,90.0,0.0
b2bf9180-176a-466c-8661,158,3,1,2024-01-02,08:19:27,Station,Contactless,Adult,35,Medium,,
1ae8686f-5468-4caa-b9b8,159,1,1,2024-01-02,08:20:40,Online,Credit Card,No Railcard,13,Low,60.0,0.0
46a67e6e-4006-4df6-9499,160,1,1,2024-01-02,08:24:11,Station,Contactless,Adult,23,Medium,110.0,0.0
1b865f74-c857-40de-8bb3,160,1,1,2024-01-02,08:27:13,Station,Credit Card,No Railcard,35,Medium,110.0,0.0
08043a64-07cf-4f17-bf18,157,2,1,2024-01-02,08:27:57,Online,Credit Card,No Railcard,32,Medium,90.0,0.0
bcd1f9fe-c858-466a-b316,158,3,2,2024-01-02,08:28:15,Station,Contactless,Adult,35,Medium,,
1bcad4d1-a4f1-48ce-856d,153,1,1,2024-01-02,08:57:10,Online,Contactless,Adult,2,Low,30.0,0.0
d95c048b-47cd-4597-b2e4,161,1,1,2024-01-02,09:06:17,Online,Credit Card,No Railcard,34,Medium,70.0,0.0
f6f18022-b9fa-40cb-8f88,162,3,1,2024-01-02,09:06:28,Station,Contactless,No Railcard,53,High,110.0,0.0
be481e94-bf95-4630-a9fc,163,1,1,2024-01-02,09:06:51,Station,Contactless,No Railcard,3,Low,30.0,0.0
7a185b26-a5b5-47f2-868d,164,1,1,2024-01-02,09:09:28,Online,Credit Card,No Railcard,9,Low,45.0,0.0
8f923665-1aa2-48d0-b670,163,1,1,2024-01-02,09:10:59,Online,Credit Card,No Railcard,3,Low,30.0,0.0
5b31ef7c-3fec-4334-bb6f,164,1,1,2024-01-02,09:11:06,Online,Credit Card,No Railcard,9,Low,45.0,0.0
25f3a4a2-a167-4532-87fe,165,3,1,2024-01-02,09:23:03,Station,Credit Card,No Railcard,5,Low,30.0,0.0
8cf9cded-25a7-4bdb-a489,166,1,1,2024-01-02,09:28:47,Station,Credit Card,No Railcard,35,Medium,110.0,0.0
25d72d1a-f4ff-4277-88df,167,2,1,2024-01-02,09:30:54,Station,Credit Card,No Railcard,108,Very High,110.0,0.0
ba9e6ec7-6c30-402d-9793,168,1,1,2024-01-02,09:31:53,Station,Credit Card,No Railcard,76,High,189.0,54.0
100e0c8f-029e-43ad-9e66,168,1,1,2024-01-02,09:34:01,Station,Credit Card,No Railcard,76,High,189.0,54.0
ef586c9b-fa89-47ac-ade6,168,1,1,2024-01-02,09:34:19,Station,Credit Card,No Railcard,76,High,189.0,54.0
3682ea88-833e-4a99-bd80,169,3,1,2024-01-02,09:35:34,Station,Contactless,No Railcard,53,High,110.0,0.0
03c979c8-bc1b-45a4-9cae,170,3,1,2024-01-02,09:42:18,Online,Contactless,No Railcard,12,Low,80.0,0.0
fefff4cd-0f11-4924-a2ca,171,1,1,2024-01-02,09:50:50,Online,Credit Card,No Railcard,72,High,110.0,0.0
8ffbc995-f676-4fb1-a5bc,172,3,1,2024-01-02,09:54:35,Station,Credit Card,No Railcard,4,Low,30.0,0.0
3ca22840-45b6-40d0-9778,173,1,1,2024-01-02,09:57:10,Station,Credit Card,Disabled,4,Low,,
bc4359df-f9cd-4564-8a3c,174,1,1,2024-01-02,10:15:13,Station,Credit Card,Senior,4,Low,80.0,0.0
8daa9049-1401-4ec4-bfbd,175,1,1,2024-01-02,10:19:26,Online,Contactless,No Railcard,13,Low,60.0,0.0
9f41ca1d-fbc7-4a9d-b00a,176,1,1,2024-01-02,10:32:20,Station,Contactless,Adult,6,Low,82.0,37.0
be9f36ee-64a2-4f41-9ac0,177,1,1,2024-01-02,10:41:07,Online,Credit Card,Adult,2,Low,30.0,0.0
9886f5b6-f820-4163-8efe,178,3,1,2024-01-02,10:42:08,Online,Contactless,No Railcard,12,Low,80.0,0.0
